Attrition,BusinessTravel,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Age_Profile,Age_cat,Gender_cat,JobLevel_cat,BusinessTravel_cat,OverTime_cat,WorkLifeBalance_cat,TrainingTimesLastYear_cat,EnvironmentSatisfaction_cat,JobSatisfaction_cat
0,1,4,1,1,4,3944,1,3,3,3,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Better,5-6,Very High,Very High
0,3,1,0,2,3,4011,0,5,2,4,1,Young Adult (18-25),Female,Junior,Non-Travel,No,Good,9-10,Low,High
1,1,3,1,1,1,3407,0,4,3,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,7-8,High,Low
0,1,1,0,3,2,11994,0,4,3,12,2,Adult (26-44),Female,Middle,Travel Rarely,No,Better,7-8,Low,Medium
0,1,3,1,1,4,1232,0,6,3,0,1,Young Adult (18-25),Male,Entry,Travel Rarely,No,Better,More than 10,High,Very High
1,1,2,1,1,1,2960,0,2,3,4,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,Medium,Low
0,1,3,0,5,3,19094,0,3,2,14,3,Middle-age (45-59),Female,Executive,Travel Rarely,No,Good,5-6,High,High
1,2,2,0,1,1,3919,1,5,3,10,2,Adult (26-44),Female,Entry,Travel Frequently,Yes,Better,9-10,Medium,Low
0,1,3,1,2,2,6825,0,2,3,9,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,3-4,High,Medium
0,1,1,0,3,4,10248,0,4,3,22,2,Adult (26-44),Female,Middle,Travel Rarely,No,Better,7-8,Low,Very High
0,1,2,0,5,1,18947,0,2,2,2,3,Middle-age (45-59),Female,Executive,Travel Rarely,No,Good,3-4,Medium,Low
0,1,3,1,1,4,2496,0,3,3,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,5-6,High,Very High
0,1,4,1,2,4,6465,1,5,4,4,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Best,9-10,Very High,Very High
0,1,4,1,1,3,2206,0,5,3,10,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,9-10,Very High,High
1,1,4,1,2,4,2086,0,6,4,1,2,Adult (26-44),Male,Junior,Travel Rarely,No,Best,More than 10,Very High,Very High
1,1,2,1,1,4,2293,1,2,2,2,1,Young Adult (18-25),Male,Entry,Travel Rarely,Yes,Good,3-4,Medium,Very High
0,1,4,0,1,3,2645,0,3,2,5,2,Adult (26-44),Female,Entry,Travel Rarely,No,Good,5-6,Very High,High
1,1,1,1,1,3,2683,1,2,3,3,3,Middle-age (45-59),Male,Entry,Travel Rarely,Yes,Better,3-4,Low,High
0,1,4,0,1,4,2014,0,3,3,2,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,5-6,Very High,Very High
0,1,2,0,1,1,3419,1,3,4,1,2,Adult (26-44),Female,Entry,Travel Rarely,Yes,Best,5-6,Medium,Low
0,2,3,0,2,1,5376,0,3,3,5,2,Adult (26-44),Female,Junior,Travel Frequently,No,Better,5-6,High,Low
0,1,3,1,1,4,1951,0,3,3,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,5-6,High,Very High
0,1,4,0,1,1,2341,0,6,3,1,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,More than 10,Very High,Low
1,1,1,1,1,3,2293,0,2,2,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Good,3-4,Low,High
0,2,4,1,3,3,8726,0,0,3,9,2,Adult (26-44),Male,Middle,Travel Frequently,No,Better,No Training,Very High,High
0,2,3,0,2,4,4011,0,2,3,12,2,Adult (26-44),Female,Junior,Travel Frequently,No,Better,3-4,High,Very High
1,1,2,0,5,3,19545,0,0,3,22,2,Adult (26-44),Female,Executive,Travel Rarely,No,Better,No Training,Medium,High
0,3,2,1,2,3,4568,0,2,3,9,2,Adult (26-44),Male,Junior,Non-Travel,No,Better,3-4,Medium,High
0,1,2,1,1,2,3022,0,1,3,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,1-2,Medium,Medium
0,2,1,1,2,4,5772,1,4,3,9,3,Middle-age (45-59),Male,Junior,Travel Frequently,Yes,Better,7-8,Low,Very High
0,1,4,1,1,4,2269,0,2,3,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,Very High,Very High
1,1,1,1,3,3,5381,1,2,3,1,3,Middle-age (45-59),Male,Middle,Travel Rarely,Yes,Better,3-4,Low,High
1,1,3,1,1,3,3441,1,3,2,2,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Good,5-6,High,High
0,1,2,0,2,1,5454,1,2,2,4,2,Adult (26-44),Female,Junior,Travel Rarely,Yes,Good,3-4,Medium,Low
0,3,3,1,3,1,9884,1,3,3,4,2,Adult (26-44),Male,Middle,Non-Travel,Yes,Better,5-6,High,Low
0,1,3,0,2,4,4157,1,2,2,2,2,Adult (26-44),Female,Junior,Travel Rarely,Yes,Good,3-4,High,Very High
0,2,1,0,3,4,13458,1,1,3,15,2,Adult (26-44),Female,Middle,Travel Frequently,Yes,Better,1-2,Low,Very High
0,2,2,1,3,1,9069,0,3,2,9,2,Adult (26-44),Male,Middle,Travel Frequently,No,Good,5-6,Medium,Low
0,1,3,0,1,1,4014,1,3,3,2,2,Adult (26-44),Female,Entry,Travel Rarely,Yes,Better,5-6,High,Low
0,1,4,1,2,4,5915,0,3,2,7,2,Adult (26-44),Male,Junior,Travel Rarely,No,Good,5-6,Very High,Very High
0,1,1,1,2,3,5993,0,2,4,7,2,Adult (26-44),Male,Junior,Travel Rarely,No,Best,3-4,Low,High
0,1,1,1,2,4,6162,1,3,3,9,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Better,5-6,Low,Very High
0,2,4,0,2,4,2406,0,2,3,10,2,Adult (26-44),Female,Junior,Travel Frequently,No,Better,3-4,Very High,Very High
0,1,2,0,5,3,18740,1,2,2,27,3,Middle-age (45-59),Female,Executive,Travel Rarely,Yes,Good,3-4,Medium,High
0,1,1,0,3,1,7637,0,3,2,21,3,Middle-age (45-59),Female,Middle,Travel Rarely,No,Good,5-6,Low,Low
0,1,3,0,3,3,10096,0,2,3,17,2,Adult (26-44),Female,Middle,Travel Rarely,No,Better,3-4,High,High
0,1,4,0,4,3,14756,1,2,3,5,3,Middle-age (45-59),Female,Senior,Travel Rarely,Yes,Better,3-4,Very High,High
0,2,2,1,2,2,6499,0,3,3,6,2,Adult (26-44),Male,Junior,Travel Frequently,No,Better,5-6,Medium,Medium
0,1,2,1,3,1,9724,0,2,3,1,3,Middle-age (45-59),Male,Middle,Travel Rarely,No,Better,3-4,Medium,Low
0,2,2,1,1,1,2194,0,2,2,3,2,Adult (26-44),Male,Entry,Travel Frequently,No,Good,3-4,Medium,Low
1,1,4,1,1,3,3388,1,0,2,1,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Good,No Training,Very High,High
0,2,1,0,2,3,5473,0,2,2,4,3,Middle-age (45-59),Female,Junior,Travel Frequently,No,Good,3-4,Low,High
0,1,3,1,1,2,2703,0,3,3,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,5-6,High,Medium
0,1,3,1,1,2,2501,0,4,3,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,7-8,High,Medium
0,1,2,1,2,2,6220,0,3,3,10,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,5-6,Medium,Medium
0,1,2,0,1,4,3038,0,3,3,1,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,5-6,Medium,Very High
0,1,3,0,2,4,4424,0,2,3,11,2,Adult (26-44),Female,Junior,Travel Rarely,No,Better,3-4,High,Very High
0,1,3,1,2,1,4312,0,2,3,15,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,3-4,High,Low
0,1,4,1,3,1,13245,1,3,4,0,3,Middle-age (45-59),Male,Middle,Travel Rarely,Yes,Best,5-6,Very High,Low
0,1,1,1,3,3,13664,0,3,4,5,2,Adult (26-44),Male,Middle,Travel Rarely,No,Best,5-6,Low,High
0,1,2,1,2,2,5021,1,2,3,4,3,Middle-age (45-59),Male,Junior,Travel Rarely,Yes,Better,3-4,Medium,Medium
0,1,4,1,2,4,5126,1,1,2,10,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Good,1-2,Very High,Very High
0,1,2,1,1,3,2859,0,3,3,6,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,5-6,Medium,High
0,1,1,1,3,4,10239,0,4,3,1,3,Middle-age (45-59),Male,Middle,Travel Rarely,No,Better,7-8,Low,Very High
0,3,2,0,2,4,5329,1,3,3,13,2,Adult (26-44),Female,Junior,Non-Travel,Yes,Better,5-6,Medium,Very High
0,1,1,1,2,2,4325,0,2,3,5,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,3-4,Low,Medium
0,1,4,1,3,4,7260,0,3,2,6,3,Middle-age (45-59),Male,Middle,Travel Rarely,No,Good,5-6,Very High,Very High
0,1,3,1,1,1,2322,0,3,3,0,1,Young Adult (18-25),Male,Entry,Travel Rarely,No,Better,5-6,High,Low
0,1,4,1,1,4,2075,0,4,3,4,3,Middle-age (45-59),Male,Entry,Travel Rarely,No,Better,7-8,Very High,Very High
0,1,3,1,2,4,4152,0,3,3,11,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,5-6,High,Very High
1,1,3,1,3,4,9619,0,3,3,9,3,Middle-age (45-59),Male,Middle,Travel Rarely,No,Better,5-6,High,Very High
0,2,3,1,4,2,13503,0,3,2,22,2,Adult (26-44),Male,Senior,Travel Frequently,No,Good,5-6,High,Medium
0,1,3,1,2,4,5441,1,2,1,10,3,Middle-age (45-59),Male,Junior,Travel Rarely,Yes,Bad,3-4,High,Very High
0,1,3,0,2,2,5209,1,4,2,11,2,Adult (26-44),Female,Junior,Travel Rarely,Yes,Good,7-8,High,Medium
0,2,3,1,3,1,10673,1,5,2,10,3,Middle-age (45-59),Male,Middle,Travel Frequently,Yes,Good,9-10,High,Low
0,1,2,1,2,3,5010,0,0,3,11,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,No Training,Medium,High
0,1,1,0,3,3,13549,0,5,1,4,3,Middle-age (45-59),Female,Middle,Travel Rarely,No,Bad,9-10,Low,High
0,1,1,0,2,3,4999,0,2,2,3,1,Young Adult (18-25),Female,Junior,Travel Rarely,No,Good,3-4,Low,High
0,3,2,1,2,3,4221,0,3,4,5,2,Adult (26-44),Male,Junior,Non-Travel,No,Best,5-6,Medium,High
0,1,4,1,4,3,13872,0,1,2,37,3,Middle-age (45-59),Male,Senior,Travel Rarely,No,Good,1-2,Very High,High
0,3,2,1,2,2,2042,0,3,4,3,2,Adult (26-44),Male,Junior,Non-Travel,No,Best,5-6,Medium,Medium
1,1,3,1,1,1,2073,1,3,3,3,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Better,5-6,High,Low
0,1,4,1,1,1,2956,0,2,3,1,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,Very High,Low
1,2,4,0,1,4,2926,1,5,3,1,1,Young Adult (18-25),Female,Entry,Travel Frequently,Yes,Better,9-10,Very High,Very High
0,1,1,0,2,3,4809,0,3,3,16,2,Adult (26-44),Female,Junior,Travel Rarely,No,Better,5-6,Low,High
0,3,3,1,2,4,5163,0,2,4,1,2,Adult (26-44),Male,Junior,Non-Travel,No,Best,3-4,High,Very High
0,3,3,0,5,4,18844,0,3,3,3,3,Middle-age (45-59),Female,Executive,Non-Travel,No,Better,5-6,High,Very High
0,2,1,0,5,2,18172,1,1,2,8,3,Middle-age (45-59),Female,Executive,Travel Frequently,Yes,Good,1-2,Low,Medium
1,1,3,1,2,3,5744,1,1,3,6,1,Young Adult (18-25),Male,Junior,Travel Rarely,Yes,Better,1-2,High,High
0,1,4,1,1,4,2889,0,2,3,2,1,Young Adult (18-25),Male,Entry,Travel Rarely,No,Better,3-4,Very High,Very High
0,1,2,0,1,4,2871,0,5,3,0,1,Young Adult (18-25),Female,Entry,Travel Rarely,No,Better,9-10,Medium,Very High
0,2,1,0,3,1,7484,0,1,2,13,3,Middle-age (45-59),Female,Middle,Travel Frequently,No,Good,1-2,Low,Low
1,2,1,1,2,3,6074,1,3,3,9,2,Adult (26-44),Male,Junior,Travel Frequently,Yes,Better,5-6,Low,High
0,3,4,0,4,4,17328,1,3,3,5,3,Middle-age (45-59),Female,Senior,Non-Travel,Yes,Better,5-6,Very High,Very High
0,1,2,1,1,3,2774,0,2,3,5,1,Young Adult (18-25),Male,Entry,Travel Rarely,No,Better,3-4,Medium,High
0,1,3,0,2,2,4505,0,3,3,1,2,Adult (26-44),Female,Junior,Travel Rarely,No,Better,5-6,High,Medium
0,1,3,1,3,4,7428,0,3,3,5,2,Adult (26-44),Male,Middle,Travel Rarely,No,Better,5-6,High,Very High
0,1,3,0,3,1,11631,0,6,3,11,2,Adult (26-44),Female,Middle,Travel Rarely,No,Better,More than 10,High,Low
0,2,2,0,3,4,9738,0,6,3,9,2,Adult (26-44),Female,Middle,Travel Frequently,No,Better,More than 10,Medium,Very High
0,1,1,0,1,4,2835,0,2,3,1,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,3-4,Low,Very High
0,2,3,1,4,4,16959,1,3,4,25,2,Adult (26-44),Male,Senior,Travel Frequently,Yes,Best,5-6,High,Very High
0,2,1,1,1,3,2613,0,2,2,10,2,Adult (26-44),Male,Entry,Travel Frequently,No,Good,3-4,Low,High
0,3,3,1,2,2,6146,0,2,4,7,2,Adult (26-44),Male,Junior,Non-Travel,No,Best,3-4,High,Medium
1,1,2,0,1,2,4963,1,2,3,5,3,Middle-age (45-59),Female,Entry,Travel Rarely,Yes,Better,3-4,Medium,Medium
0,1,1,1,5,3,19537,0,5,3,20,3,Middle-age (45-59),Male,Executive,Travel Rarely,No,Better,9-10,Low,High
1,1,2,1,2,3,6172,1,3,2,7,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Good,5-6,Medium,High
0,1,3,0,1,2,2368,0,3,2,5,2,Adult (26-44),Female,Entry,Travel Rarely,No,Good,5-6,High,Medium
1,1,4,0,3,4,10312,0,3,2,40,3,Middle-age (45-59),Female,Middle,Travel Rarely,No,Good,5-6,Very High,Very High
1,1,4,1,1,3,1675,1,2,2,0,1,Young Adult (18-25),Male,Entry,Travel Rarely,Yes,Good,3-4,Very High,High
0,1,3,1,1,4,2523,0,2,3,2,1,Young Adult (18-25),Male,Entry,Travel Rarely,No,Better,3-4,High,Very High
0,1,3,0,2,1,6567,0,2,2,15,3,Middle-age (45-59),Female,Junior,Travel Rarely,No,Good,3-4,High,Low
0,2,2,0,1,3,4739,0,2,3,3,2,Adult (26-44),Female,Entry,Travel Frequently,No,Better,3-4,Medium,High
0,2,3,0,3,4,9208,0,3,3,2,3,Middle-age (45-59),Female,Middle,Travel Frequently,No,Better,5-6,High,Very High
1,1,2,0,2,3,4559,1,2,3,2,2,Adult (26-44),Female,Junior,Travel Rarely,Yes,Better,3-4,Medium,High
0,1,3,1,3,3,8189,1,2,3,9,2,Adult (26-44),Male,Middle,Travel Rarely,Yes,Better,3-4,High,High
0,1,3,0,1,3,2942,0,3,3,8,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,5-6,High,High
0,1,2,1,2,2,4941,0,0,3,3,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,No Training,Medium,Medium
1,2,1,1,3,4,10650,0,2,3,4,3,Middle-age (45-59),Male,Middle,Travel Frequently,No,Better,3-4,Low,Very High
0,1,4,0,2,3,5902,0,1,4,15,2,Adult (26-44),Female,Junior,Travel Rarely,No,Best,1-2,Very High,High
0,1,1,1,2,3,8639,0,3,3,2,1,Young Adult (18-25),Male,Junior,Travel Rarely,No,Better,5-6,Low,High
0,1,3,1,2,4,6347,1,2,1,11,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Bad,3-4,High,Very High
1,1,1,0,1,1,4200,0,2,4,5,2,Adult (26-44),Female,Entry,Travel Rarely,No,Best,3-4,Low,Low
0,1,3,1,1,4,3452,0,2,2,6,3,Middle-age (45-59),Male,Entry,Travel Rarely,No,Good,3-4,High,Very High
0,1,4,0,2,3,4317,1,2,3,3,2,Adult (26-44),Female,Junior,Travel Rarely,Yes,Better,3-4,Very High,High
0,1,1,0,1,3,2632,0,4,2,5,2,Adult (26-44),Female,Entry,Travel Rarely,No,Good,7-8,Low,High
0,2,4,1,2,4,4668,0,2,4,8,2,Adult (26-44),Male,Junior,Travel Frequently,No,Best,3-4,Very High,Very High
0,1,4,0,1,1,3204,0,3,3,3,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,5-6,Very High,Low
0,1,2,1,1,4,2720,0,3,3,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,5-6,Medium,Very High
0,2,4,1,4,1,17181,0,2,2,7,2,Adult (26-44),Male,Senior,Travel Frequently,No,Good,3-4,Very High,Low
0,1,3,1,1,1,2238,0,2,3,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,High,Low
0,1,2,0,1,2,1483,0,3,3,1,1,Young Adult (18-25),Female,Entry,Travel Rarely,No,Better,5-6,Medium,Medium
0,2,2,0,2,2,5605,0,2,3,20,2,Adult (26-44),Female,Junior,Travel Frequently,No,Better,3-4,Medium,Medium
0,1,3,1,3,2,7295,0,3,3,10,2,Adult (26-44),Male,Middle,Travel Rarely,No,Better,5-6,High,Medium
0,1,2,1,2,3,2306,1,3,1,7,3,Middle-age (45-59),Male,Junior,Travel Rarely,Yes,Bad,5-6,Medium,High
0,1,2,1,2,2,2348,0,2,1,17,3,Middle-age (45-59),Male,Junior,Travel Rarely,No,Bad,3-4,Medium,Medium
0,2,2,0,3,4,8998,0,2,3,9,2,Adult (26-44),Female,Middle,Travel Frequently,No,Better,3-4,Medium,Very High
0,3,4,1,2,3,4319,0,1,3,10,2,Adult (26-44),Male,Junior,Non-Travel,No,Better,1-2,Very High,High
0,1,2,1,2,3,6132,0,2,3,1,3,Middle-age (45-59),Male,Junior,Travel Rarely,No,Better,3-4,Medium,High
0,1,2,0,1,2,3346,1,3,2,1,3,Middle-age (45-59),Female,Entry,Travel Rarely,Yes,Good,5-6,Medium,Medium
0,1,3,1,3,4,10855,0,2,2,12,2,Adult (26-44),Male,Middle,Travel Rarely,No,Good,3-4,High,Very High
0,2,3,0,1,3,2231,0,3,3,4,2,Adult (26-44),Female,Entry,Travel Frequently,No,Better,5-6,High,High
0,1,3,1,1,4,2323,0,6,3,2,1,Young Adult (18-25),Male,Entry,Travel Rarely,No,Better,More than 10,High,Very High
0,3,4,1,1,2,2024,0,1,1,2,2,Adult (26-44),Male,Entry,Non-Travel,No,Bad,1-2,Very High,Medium
0,1,3,1,1,4,2713,0,2,1,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Bad,3-4,High,Very High
0,1,3,1,3,4,9439,1,2,1,5,3,Middle-age (45-59),Male,Middle,Travel Rarely,Yes,Bad,3-4,High,Very High
0,3,3,1,1,3,2566,1,2,2,1,2,Adult (26-44),Male,Entry,Non-Travel,Yes,Good,3-4,High,High
0,1,3,0,5,2,19926,0,5,3,5,3,Middle-age (45-59),Female,Executive,Travel Rarely,No,Better,9-10,High,Medium
0,1,1,1,1,3,2451,0,2,3,9,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,Low,High
0,1,2,0,3,4,9419,0,2,3,10,2,Adult (26-44),Female,Middle,Travel Rarely,No,Better,3-4,Medium,Very High
0,1,1,0,2,4,8686,0,2,4,8,2,Adult (26-44),Female,Junior,Travel Rarely,No,Best,3-4,Low,Very High
0,1,3,1,1,3,3038,0,2,3,5,2,Adult (26-44),Male,Entry,Travel Rarely,No,Better,3-4,High,High
0,1,3,1,1,2,3058,1,3,2,5,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Good,5-6,High,Medium
1,2,3,0,1,1,2325,0,5,4,0,1,Young Adult (18-25),Female,Entry,Travel Frequently,No,Best,9-10,High,Low
0,2,4,1,1,2,2088,0,3,2,8,2,Adult (26-44),Male,Entry,Travel Frequently,No,Good,5-6,Very High,Medium
0,3,3,1,2,1,3072,0,4,3,12,2,Adult (26-44),Male,Junior,Non-Travel,No,Better,7-8,High,Low
0,1,3,0,2,1,5006,1,3,4,5,3,Middle-age (45-59),Female,Junior,Travel Rarely,Yes,Best,5-6,High,Low
0,1,3,0,1,1,4257,1,3,3,2,3,Middle-age (45-59),Female,Entry,Travel Rarely,Yes,Better,5-6,High,Low
0,1,3,1,1,4,2500,0,2,4,3,2,Adult (26-44),Male,Entry,Travel Rarely,No,Best,3-4,High,Very High
1,1,2,1,1,4,1102,0,3,2,1,1,Young Adult (18-25),Male,Entry,Travel Rarely,No,Good,5-6,Medium,Very High
0,1,2,0,3,1,10453,0,2,3,24,3,Middle-age (45-59),Female,Middle,Travel Rarely,No,Better,3-4,Medium,Low
0,1,3,0,1,4,2288,0,3,3,2,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,5-6,High,Very High
0,1,3,0,1,4,3929,1,0,3,4,2,Adult (26-44),Female,Entry,Travel Rarely,Yes,Better,No Training,High,Very High
0,1,4,0,1,2,2311,0,3,3,3,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,5-6,Very High,Medium
1,1,2,0,1,2,3140,1,5,2,4,2,Adult (26-44),Female,Entry,Travel Rarely,Yes,Good,9-10,Medium,Medium
0,1,3,1,1,3,3690,0,2,2,3,3,Middle-age (45-59),Male,Entry,Travel Rarely,No,Good,3-4,High,High
0,1,4,0,2,1,4450,0,3,3,4,3,Middle-age (45-59),Female,Junior,Travel Rarely,No,Better,5-6,Very High,Low
0,1,4,0,1,2,2756,0,5,3,8,2,Adult (26-44),Female,Entry,Travel Rarely,No,Better,9-10,Very High,Medium
0,1,4,0,5,3,19033,0,2,3,20,2,Adult (26-44),Female,Executive,Travel Rarely,No,Better,3-4,Very High,High
0,1,3,1,5,2,18722,0,3,3,24,3,Middle-age (45-59),Male,Executive,Travel Rarely,No,Better,5-6,High,Medium
0,2,4,1,2,3,9547,0,2,2,10,2,Adult (26-44),Male,Junior,Travel Frequently,No,Good,3-4,Very High,High
0,1,4,0,4,2,13734,0,6,3,7,3,Middle-age (45-59),Female,Senior,Travel Rarely,No,Better,More than 10,Very High,Medium
0,1,3,1,5,3,19999,0,5,3,33,3,Middle-age (45-59),Male,Executive,Travel Rarely,No,Better,9-10,High,High
0,1,4,0,1,2,2279,0,2,2,7,2,Adult (26-44),Female,Entry,Travel Rarely,No,Good,3-4,Very High,Medium
1,1,2,1,2,3,5916,1,1,3,1,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Better,1-2,Medium,High
0,3,4,1,1,4,2089,0,3,4,5,2,Adult (26-44),Male,Entry,Non-Travel,No,Best,5-6,Very High,Very High
0,3,1,1,4,4,16792,0,1,3,20,3,Middle-age (45-59),Male,Senior,Non-Travel,No,Better,1-2,Low,Very High
0,1,2,1,1,1,3564,1,3,2,8,2,Adult (26-44),Male,Entry,Travel Rarely,Yes,Good,5-6,Medium,Low
0,2,2,0,2,2,4425,0,5,3,6,2,Adult (26-44),Female,Junior,Travel Frequently,No,Better,9-10,Medium,Medium
0,3,3,0,2,3,5265,0,5,3,5,2,Adult (26-44),Female,Junior,Non-Travel,No,Better,9-10,High,High
0,1,4,1,2,3,6553,0,3,3,1,2,Adult (26-44),Male,Junior,Travel Rarely,No,Better,5-6,Very High,High
0,1,4,1,2,4,6261,0,3,1,7,2,Adult (26-44),Male,Junior,Travel Rarely,No,Bad,5-6,Very High,Very High
0,2,3,1,2,1,4298,0,1,3,2,2,Adult (26-44),Male,Junior,Travel Frequently,No,Better,1-2,High,Low
0,3,4,1,2,4,6804,1,0,3,7,3,Middle-age (45-59),Male,Junior,Non-Travel,Yes,Better,No Training,Very High,Very High
0,2,4,1,1,3,3815,1,4,4,5,2,Adult (26-44),Male,Entry,Travel Frequently,Yes,Best,7-8,Very High,High
0,1,3,1,2,4,2741,1,2,4,7,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Best,3-4,High,Very High
1,1,2,1,2,1,6673,1,2,3,1,2,Adult (26-44),Male,Junior,Travel Rarely,Yes,Better,3-4,Medium,Low
1,1,2,0,3,4,7639,0,3,2,10,2,Adult (26-44),Female,Middle,Travel Rarely,No,Good,5-6,Medium,Very High
0,1,4,1,1,2,2328,1,2,2,4,1,Young Adult (18-25),Male,Entry,Travel Rarely,Yes,Good,3-4,Very High,Medium
0,2,2,0,1,4,2153,0,2,3,8,2,Adult (26-44),Female,Entry,Travel Frequently,No,Better,3-4,Medium,Very High
0,3,4,1,2,4,4876,0,5,1,3,2,Adult (26-44),Male,Junior,Non-Travel,No,Bad,9-10,Very High,Very High
0,1,4,1,3,1,9396,0,3,3,4,3,Middle-age (45-59),Male,Middle,Travel Rarely,No,Better,5-6,Very High,Low
